Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Oslo - Blindern;SN18700;22.04.1945;6,6;9,9;3,4;0,9;0
Oslo - Blindern;SN18700;23.04.1945;7,7;10,9;3,4;0;0
Oslo - Blindern;SN18700;24.04.1945;7;12,2;-0,4;0;0
Oslo - Blindern;SN18700;25.04.1945;7,3;11,6;2,6;0;0
Oslo - Blindern;SN18700;26.04.1945;6,9;11,4;1,4;0;0
Oslo - Blindern;SN18700;27.04.1945;4,7;9,4;3,2;0,1;0
Oslo - Blindern;SN18700;28.04.1945;5,4;9,2;3;23,3;0
Oslo - Blindern;SN18700;29.04.1945;5,2;9,2;0,1;0;0
Oslo - Blindern;SN18700;30.04.1945;5,8;9,4;1,9;5,4;0
Oslo - Blindern;SN18700;01.05.1945;6,1;10,7;2,7;0,2;0
Oslo - Blindern;SN18700;02.05.1945;3,5;8,5;2,2;1,2;0
Oslo - Blindern;SN18700;03.05.1945;6,2;9,2;1,8;37,5;0
Oslo - Blindern;SN18700;04.05.1945;6,8;9,3;6,2;24,9;0
Oslo - Blindern;SN18700;05.05.1945;8,9;14,3;4,8;2,7;0
Oslo - Blindern;SN18700;06.05.1945;9,3;15,8;1,8;0;0
Oslo - Blindern;SN18700;07.05.1945;9,4;15,5;3;0;0
Oslo - Blindern;SN18700;08.05.1945;9,8;14;7,5;0;0
Oslo - Blindern;SN18700;09.05.1945;8,5;12,9;4,5;0;0
Oslo - Blindern;SN18700;10.05.1945;7;12,3;6,6;10;0
Oslo - Blindern;SN18700;11.05.1945;12,4;18,8;8,3;1,8;0
Oslo - Blindern;SN18700;12.05.1945;12,4;19,3;5,5;0;0
Oslo - Blindern;SN18700;13.05.1945;12,5;18,6;5,5;0;0
Oslo - Blindern;SN18700;14.05.1945;12,4;16,5;11,3;1;0
Oslo - Blindern;SN18700;15.05.1945;13;18,6;7,8;0;0
Oslo - Blindern;SN18700;16.05.1945;11;16,1;6;0;0
Oslo - Blindern;SN18700;17.05.1945;9,9;12,4;8,7;2,2;0
Oslo - Blindern;SN18700;18.05.1945;10,8;14,4;6,4;4,1;0
Oslo - Blindern;SN18700;19.05.1945;12;17,3;4,5;0;0
Oslo - Blindern;SN18700;20.05.1945;13,1;18,4;6,9;0;0
Oslo - Blindern;SN18700;21.05.1945;13,9;20,8;4,4;0;0
Oslo - Blindern;SN18700;22.05.1945;13,2;18,1;8,3;0;0
Oslo - Blindern;SN18700;23.05.1945;8,6;15,2;5,5;0;0
Oslo - Blindern;SN18700;24.05.1945;5,6;10,9;3,2;0;0
Oslo - Blindern;SN18700;25.05.1945;8,9;14,8;1,5;0,1;0
Oslo - Blindern;SN18700;26.05.1945;8,6;14,3;0,5;0;0
Oslo - Blindern;SN18700;27.05.1945;9,4;15,2;1,9;0;0
Oslo - Blindern;SN18700;28.05.1945;11,7;14,8;8,4;0,3;0
Oslo - Blindern;SN18700;29.05.1945;13,7;18,9;10,3;3,9;0
Oslo - Blindern;SN18700;30.05.1945;14,1;16,5;13,1;12,1;0
Oslo - Blindern;SN18700;31.05.1945;13,4;18,1;9,9;7,1;0
Oslo - Blindern;SN18700;01.06.1945;12,1;18,4;6,9;0;0
Oslo - Blindern;SN18700;02.06.1945;14,9;21;9,6;0;0
Oslo - Blindern;SN18700;03.06.1945;13,6;18,5;8,5;0;0
Oslo - Blindern;SN18700;04.06.1945;11,8;16,4;10,4;5,7;0
Oslo - Blindern;SN18700;05.06.1945;10,8;14,3;8,3;9,9;0
Oslo - Blindern;SN18700;06.06.1945;11,4;17,7;6,1;0;0
Oslo - Blindern;SN18700;07.06.1945;11,4;15,9;8,6;7,9;0
Oslo - Blindern;SN18700;08.06.1945;12,6;16,1;9,6;5,7;0
Oslo - Blindern;SN18700;09.06.1945;12,9;18,4;8,1;1,8;0
Oslo - Blindern;SN18700;10.06.1945;11,3;16,9;6,9;2,4;0
Oslo - Blindern;SN18700;11.06.1945;13,3;18,5;6,5;2,7;0
Oslo - Blindern;SN18700;12.06.1945;12,5;17,5;8,8;0;0
Oslo - Blindern;SN18700;13.06.1945;14,6;18,8;9;0;0
Oslo - Blindern;SN18700;14.06.1945;11,6;18;9,1;1,3;0
Oslo - Blindern;SN18700;15.06.1945;11,3;17,1;5,5;0,7;0
Oslo - Blindern;SN18700;16.06.1945;9,4;14,4;4,1;3,7;0
Oslo - Blindern;SN18700;17.06.1945;11,1;16,9;4,8;1;0
Oslo - Blindern;SN18700;18.06.1945;12,6;17,4;7,8;0,5;0
Oslo - Blindern;SN18700;19.06.1945;19,8;25,9;11,6;0;0
Oslo - Blindern;SN18700;20.06.1945;20,5;26,9;11,8;0;0
Oslo - Blindern;SN18700;21.06.1945;22;29,1;11,2;0;0
Oslo - Blindern;SN18700;22.06.1945;22,6;29,5;13,4;0;0
Oslo - Blindern;SN18700;23.06.1945;21;27,7;13,6;0;0
Oslo - Blindern;SN18700;24.06.1945;17;22,5;14,6;0;0
Oslo - Blindern;SN18700;25.06.1945;13,2;19,4;12,6;0,1;0
Oslo - Blindern;SN18700;26.06.1945;15,7;18,5;12,3;13,2;0
Oslo - Blindern;SN18700;27.06.1945;14,5;17,1;13,4;0,1;0
Oslo - Blindern;SN18700;28.06.1945;17,5;22,7;12,8;6;0
Oslo - Blindern;SN18700;29.06.1945;19,7;25,4;11,6;0,1;0
Oslo - Blindern;SN18700;30.06.1945;16,3;23;12,5;0;0
Oslo - Blindern;SN18700;01.07.1945;16;20,5;13,4;0;0
Oslo - Blindern;SN18700;02.07.1945;16,1;21,3;12,2;0;0
Oslo - Blindern;SN18700;03.07.1945;15,6;19,4;12,9;0,1;0
Oslo - Blindern;SN18700;04.07.1945;18,2;24;11,8;0;0
Oslo - Blindern;SN18700;05.07.1945;19,7;25,8;12,7;0;0
Oslo - Blindern;SN18700;06.07.1945;17,3;21,9;15,7;0;0
Oslo - Blindern;SN18700;07.07.1945;17,4;21,5;14,5;1,5;0
Oslo - Blindern;SN18700;08.07.1945;17,3;20,6;14,7;3,2;0
Oslo - Blindern;SN18700;09.07.1945;19,6;25,3;12,1;1,5;0
Oslo - Blindern;SN18700;10.07.1945;21,6;26,7;13,6;0;0
Oslo - Blindern;SN18700;11.07.1945;23;29;14,5;0;0
Oslo - Blindern;SN18700;12.07.1945;21;26,4;17,1;0;0
Oslo - Blindern;SN18700;13.07.1945;20,9;25,5;17,8;1,3;0
Oslo - Blindern;SN18700;14.07.1945;21,2;25,4;17,1;0;0
Oslo - Blindern;SN18700;15.07.1945;21,9;29;16,7;0;0
Oslo - Blindern;SN18700;16.07.1945;22,4;29,5;12,7;0;0
Oslo - Blindern;SN18700;17.07.1945;21,9;27,2;18;0;0
Oslo - Blindern;SN18700;18.07.1945;20,3;26;14,1;0;0
Oslo - Blindern;SN18700;19.07.1945;22,4;29,9;14,2;0;0
Oslo - Blindern;SN18700;20.07.1945;18,6;26,6;16,6;0;0
Oslo - Blindern;SN18700;21.07.1945;18,8;22,4;15,6;5;0
Oslo - Blindern;SN18700;22.07.1945;15,8;21,9;11,7;0,3;0
Oslo - Blindern;SN18700;23.07.1945;20,4;25;14,6;2,2;0
Oslo - Blindern;SN18700;24.07.1945;19,5;25,4;12,8;0;0
Oslo - Blindern;SN18700;25.07.1945;17,4;22,4;13,4;0;0
Oslo - Blindern;SN18700;26.07.1945;14,5;20,6;11,7;0;0
Oslo - Blindern;SN18700;27.07.1945;15,5;19,2;11,2;1,8;0
Oslo - Blindern;SN18700;28.07.1945;15,3;20,4;11;0;0
Oslo - Blindern;SN18700;29.07.1945;18;24,5;10,6;0;0
Oslo - Blindern;SN18700;30.07.1945;15,3;21,4;12,2;0;0
Oslo - Blindern;SN18700;31.07.1945;17,9;23;12,7;0;0
Oslo - Blindern;SN18700;01.08.1945;18,3;23,5;12,8;0;0
Oslo - Blindern;SN18700;02.08.1945;19,4;26,9;10,8;0;0
Oslo - Blindern;SN18700;03.08.1945;21,4;30,3;12,1;0;0
Oslo - Blindern;SN18700;04.08.1945;22,6;28,6;14,3;0;0
Oslo - Blindern;SN18700;05.08.1945;19,8;26,7;13,7;0;0
Oslo - Blindern;SN18700;06.08.1945;18,2;24,6;15,2;0;0
Oslo - Blindern;SN18700;07.08.1945;18;20,9;16,6;5,3;0
Oslo - Blindern;SN18700;08.08.1945;19,7;24,6;15,3;0;0
Oslo - Blindern;SN18700;09.08.1945;21,3;27,7;15,3;0;0
Oslo - Blindern;SN18700;10.08.1945;24,3;28,4;19,6;0;0
Oslo - Blindern;SN18700;11.08.1945;23,5;28,5;17,8;0;0
Oslo - Blindern;SN18700;12.08.1945;23,7;29;16,9;0;0
Oslo - Blindern;SN18700;13.08.1945;22,7;27,8;17,6;0;0
Oslo - Blindern;SN18700;14.08.1945;21,5;24,5;19;0;0
Oslo - Blindern;SN18700;15.08.1945;19;22,8;16,6;0;0
Oslo - Blindern;SN18700;16.08.1945;19,3;22,6;15,6;0;0
Oslo - Blindern;SN18700;17.08.1945;21,6;26,3;16,1;12;0
Oslo - Blindern;SN18700;18.08.1945;19,4;23,2;18;0;0
Oslo - Blindern;SN18700;19.08.1945;16,7;19,4;14,7;0;0
Oslo - Blindern;SN18700;20.08.1945;16,1;20,2;13,2;0,2;0
Oslo - Blindern;SN18700;21.08.1945;16,4;21,8;13,7;0;0
Oslo - Blindern;SN18700;22.08.1945;15,4;20,9;11,5;4,1;0
Oslo - Blindern;SN18700;23.08.1945;16,2;21,5;13,9;1,8;0
Oslo - Blindern;SN18700;24.08.1945;14;16,8;11,8;3,7;0
Oslo - Blindern;SN18700;25.08.1945;14,9;19,8;8,8;3,7;0
Oslo - Blindern;SN18700;26.08.1945;16,3;22,7;9,8;0;0
Oslo - Blindern;SN18700;27.08.1945;13,5;19,6;6,8;0;0
Oslo - Blindern;SN18700;28.08.1945;17,1;23,7;11,1;0;0
Oslo - Blindern;SN18700;29.08.1945;12;20,3;10,2;0;0
Oslo - Blindern;SN18700;30.08.1945;17,2;22,6;13,3;3;0
Oslo - Blindern;SN18700;31.08.1945;13,5;19,3;10,9;0;0
Oslo - Blindern;SN18700;01.09.1945;13,8;19,1;8,2;0;0
Oslo - Blindern;SN18700;02.09.1945;13,6;18,9;5,8;0;0
Oslo - Blindern;SN18700;03.09.1945;14,5;20,3;7,7;0;0
Oslo - Blindern;SN18700;04.09.1945;15,2;22;8,4;0;0
Oslo - Blindern;SN18700;05.09.1945;15;19,4;10,6;0;0
Oslo - Blindern;SN18700;06.09.1945;14,2;19,6;5,1;0;0
Oslo - Blindern;SN18700;07.09.1945;14,4;20,9;6,6;0;0
Oslo - Blindern;SN18700;08.09.1945;14,2;20,4;7,7;0;0
Oslo - Blindern;SN18700;09.09.1945;13,8;19,1;7,7;0;0
Oslo - Blindern;SN18700;10.09.1945;14,1;19,5;8,2;0;0
Oslo - Blindern;SN18700;11.09.1945;13,7;17,1;10,5;0;0
Oslo - Blindern;SN18700;12.09.1945;11,8;16,4;5,2;0;0
Oslo - Blindern;SN18700;13.09.1945;13,6;16,3;11;0;0
Oslo - Blindern;SN18700;14.09.1945;12,5;15,3;9,7;0,7;0
Oslo - Blindern;SN18700;15.09.1945;12,8;16,2;8,4;5,5;0
Oslo - Blindern;SN18700;16.09.1945;10,3;14,3;6,7;0;0
Oslo - Blindern;SN18700;17.09.1945;11,5;16,2;4,2;0,6;0
Oslo - Blindern;SN18700;18.09.1945;10,5;13,5;9,7;1,5;0
Oslo - Blindern;SN18700;19.09.1945;11,3;14,5;8,1;4,2;0
Oslo - Blindern;SN18700;20.09.1945;11,5;13,3;9,6;4;0
Oslo - Blindern;SN18700;21.09.1945;13,2;17,2;11;12,3;0
Oslo - Blindern;SN18700;22.09.1945;10,8;14,9;5,2;0,1;0
Oslo - Blindern;SN18700;23.09.1945;10,5;13,3;9,6;15,1;0
Oslo - Blindern;SN18700;24.09.1945;9,3;12,8;5,7;0;0
Oslo - Blindern;SN18700;25.09.1945;7,2;9,7;6,2;1,3;0
Oslo - Blindern;SN18700;26.09.1945;6,4;8,2;3,6;0;0
Oslo - Blindern;SN18700;27.09.1945;7,5;11,5;6,5;1,1;0
Oslo - Blindern;SN18700;28.09.1945;7,3;14,1;2,7;0,2;0
Oslo - Blindern;SN18700;29.09.1945;7,2;13,5;1,5;0;0
Oslo - Blindern;SN18700;30.09.1945;6,3;8,9;2,7;0;0
Oslo - Blindern;SN18700;01.10.1945;7,3;11,1;3,9;0,8;0
Oslo - Blindern;SN18700;02.10.1945;8,2;14,5;2,7;0;0
Oslo - Blindern;SN18700;03.10.1945;9;11,3;5,7;0,1;0
Oslo - Blindern;SN18700;04.10.1945;11,6;12,7;9,8;0;0
Oslo - Blindern;SN18700;05.10.1945;7,8;11,9;7,1;1,2;0
Oslo - Blindern;SN18700;06.10.1945;8,8;14,2;2,6;0;0
Oslo - Blindern;SN18700;07.10.1945;7;10,9;0,6;0;0
Oslo - Blindern;SN18700;08.10.1945;5,6;10,9;1,6;0;0
Oslo - Blindern;SN18700;09.10.1945;8,9;11,2;4,7;0;0
Oslo - Blindern;SN18700;10.10.1945;9;12,3;5,7;3,8;0
Oslo - Blindern;SN18700;11.10.1945;3,9;9,1;-2,3;0;0
Oslo - Blindern;SN18700;12.10.1945;3,5;7,5;-0,7;0;0
Oslo - Blindern;SN18700;13.10.1945;5,4;8,2;1,6;0;0
Oslo - Blindern;SN18700;14.10.1945;9,7;13,7;4;0;0
Oslo - Blindern;SN18700;15.10.1945;10,9;15,3;6,6;0;0
Oslo - Blindern;SN18700;16.10.1945;5,2;11,2;0,1;0;0
Oslo - Blindern;SN18700;17.10.1945;5,6;11,2;-0,4;0;0
Oslo - Blindern;SN18700;18.10.1945;9,6;15,8;1,7;0;0
Oslo - Blindern;SN18700;19.10.1945;5,5;11,6;2,6;0;0
Oslo - Blindern;SN18700;20.10.1945;6;9,9;1,9;0;0
Oslo - Blindern;SN18700;21.10.1945;2,5;6,6;-0,2;0;0
Oslo - Blindern;SN18700;22.10.1945;4,3;6,2;-0,4;0;0
Oslo - Blindern;SN18700;23.10.1945;6,7;8,2;4,6;4,1;0
Oslo - Blindern;SN18700;24.10.1945;8,3;9,6;7,5;9,1;0
Oslo - Blindern;SN18700;25.10.1945;6,2;7,7;4,7;3,6;0
Oslo - Blindern;SN18700;26.10.1945;9;10;7,2;16,8;0
Oslo - Blindern;SN18700;27.10.1945;6,7;9,4;5,2;15,9;0
Oslo - Blindern;SN18700;28.10.1945;4,3;6;1,7;0;0
Oslo - Blindern;SN18700;29.10.1945;3;4,9;2,7;0;0
Oslo - Blindern;SN18700;30.10.1945;2,3;3,7;1,7;8,9;0
Oslo - Blindern;SN18700;31.10.1945;4,3;5,2;1,7;2,4;0
Oslo - Blindern;SN18700;01.11.1945;9,1;11,1;5,1;0,5;0
Oslo - Blindern;SN18700;02.11.1945;4,5;9;-0,4;0;0
Oslo - Blindern;SN18700;03.11.1945;1,8;5,7;0,3;0;0
Oslo - Blindern;SN18700;04.11.1945;1,8;3,6;-0,3;0;0
Oslo - Blindern;SN18700;05.11.1945;0,7;3,2;-1,4;0;0
Oslo - Blindern;SN18700;06.11.1945;-0,9;0,4;-2,7;0;0
Oslo - Blindern;SN18700;07.11.1945;0,3;2,2;-1,9;0;0
Oslo - Blindern;SN18700;08.11.1945;3,8;6,1;0,6;0,9;0
Oslo - Blindern;SN18700;09.11.1945;-1,7;1,9;-3,4;0;0
Oslo - Blindern;SN18700;10.11.1945;-5;-3;-7,1;0;0
Oslo - Blindern;SN18700;11.11.1945;-7,6;-3,9;-11,8;0;0
Oslo - Blindern;SN18700;12.11.1945;-0,3;6,2;-8,5;0;0
Oslo - Blindern;SN18700;13.11.1945;4,5;5,9;1,7;0;0
Oslo - Blindern;SN18700;14.11.1945;0,7;2,4;0,1;0;0
Oslo - Blindern;SN18700;15.11.1945;0,4;1,3;-1;0;0
Oslo - Blindern;SN18700;16.11.1945;1,9;2,3;0,6;1;0
Oslo - Blindern;SN18700;17.11.1945;1,6;2,4;0,4;17;0
Oslo - Blindern;SN18700;18.11.1945;-1,9;0,6;-3,5;0;0
Oslo - Blindern;SN18700;19.11.1945;-3,1;-1;-5;0;0
Oslo - Blindern;SN18700;20.11.1945;-4,5;-2,8;-5,4;0;0
Oslo - Blindern;SN18700;21.11.1945;-4,2;-1,3;-6,2;0;0
Oslo - Blindern;SN18700;22.11.1945;-3,8;-2,8;-6,2;0;0
Oslo - Blindern;SN18700;23.11.1945;-6,7;-2,3;-7;0;0
Oslo - Blindern;SN18700;24.11.1945;-4,8;-3,1;-7,4;0;0
Oslo - Blindern;SN18700;25.11.1945;-2,7;-1,7;-2,7;0;0
Oslo - Blindern;SN18700;26.11.1945;1,3;4,1;-2,4;0,1;0
Oslo - Blindern;SN18700;27.11.1945;-1,2;1,7;-3,2;0;0
Oslo - Blindern;SN18700;28.11.1945;2,4;6,1;-4;0,2;0
Oslo - Blindern;SN18700;29.11.1945;3;6,2;-1,1;0;0
Oslo - Blindern;SN18700;30.11.1945;-1,9;4,6;-4,5;0;0
Oslo - Blindern;SN18700;01.12.1945;0,6;1,6;-2,1;0;0
Oslo - Blindern;SN18700;02.12.1945;3,3;4,7;1,5;1,7;0
Oslo - Blindern;SN18700;03.12.1945;2;4;1,2;3,7;0
Oslo - Blindern;SN18700;04.12.1945;1,2;2,1;0,8;10,3;0
Oslo - Blindern;SN18700;05.12.1945;2,8;4;-0,1;1,9;0
Oslo - Blindern;SN18700;06.12.1945;1;3,2;0,2;0;0
Oslo - Blindern;SN18700;07.12.1945;-3,6;1;-5,7;0,1;0
Oslo - Blindern;SN18700;08.12.1945;-5,2;-4,5;-7,8;0;0
Oslo - Blindern;SN18700;09.12.1945;-0,4;1,9;-4,7;0;0
Oslo - Blindern;SN18700;10.12.1945;0,9;4;-2,6;0,3;0
Oslo - Blindern;SN18700;11.12.1945;-4,8;-2;-6,6;0;0
Oslo - Blindern;SN18700;12.12.1945;-4,8;-2,5;-6,8;0;0
Oslo - Blindern;SN18700;13.12.1945;-4,5;-3;-6,8;15;14
Oslo - Blindern;SN18700;14.12.1945;-2,5;-0,6;-6,8;0;11
Oslo - Blindern;SN18700;15.12.1945;-3,8;-1,3;-7,8;0;10
Oslo - Blindern;SN18700;16.12.1945;-10,9;-1;-12,8;0;11
Oslo - Blindern;SN18700;17.12.1945;-3,7;-1,9;-10,7;0,6;12
Oslo - Blindern;SN18700;18.12.1945;3,9;4,8;-1,8;12,5;9
Oslo - Blindern;SN18700;19.12.1945;2,6;4,8;1,6;7,6;3
Oslo - Blindern;SN18700;20.12.1945;1,5;3;1;5,9;1
Oslo - Blindern;SN18700;21.12.1945;1;1,8;0,2;1,9;0
Oslo - Blindern;SN18700;22.12.1945;1,2;2,9;0,1;4,8;1
Oslo - Blindern;SN18700;23.12.1945;-2,2;1,1;-3,5;0;1
Oslo - Blindern;SN18700;24.12.1945;-8,2;-3;-8,9;0,3;2
Oslo - Blindern;SN18700;25.12.1945;-5,8;-5,1;-7,9;1,7;1
Oslo - Blindern;SN18700;26.12.1945;-3;-2;-5,6;3,6;2
Oslo - Blindern;SN18700;27.12.1945;-1,2;-0,9;-2,3;0,7;3
Oslo - Blindern;SN18700;28.12.1945;-0,5;0;-1,8;0,4;3
Oslo - Blindern;SN18700;29.12.1945;-1,9;0,1;-3,8;0;3
Oslo - Blindern;SN18700;30.12.1945;-8,9;-3;-11,9;0;2
Oslo - Blindern;SN18700;31.12.1945;-11,8;-9;-13,2;0;2
Oslo - Blindern;SN18700;01.01.1946;-14,9;-12,7;-16,9;0;2
Oslo - Blindern;SN18700;02.01.1946;-14,3;-12;-15,9;0;2
Oslo - Blindern;SN18700;03.01.1946;-16,6;-14,9;-18,9;0;2
Oslo - Blindern;SN18700;04.01.1946;0;2,9;-15,3;0;2
Oslo - Blindern;SN18700;05.01.1946;4,9;7;1,1;0,3;1
Oslo - Blindern;SN18700;06.01.1946;0,3;5,9;-1,4;0;1
Oslo - Blindern;SN18700;07.01.1946;-1,7;0,7;-3,2;0;1
Oslo - Blindern;SN18700;08.01.1946;-2,6;-0,4;-5,5;0;1
Oslo - Blindern;SN18700;09.01.1946;1,8;3,1;-1,1;1,9;1
Oslo - Blindern;SN18700;10.01.1946;1,1;3,1;0,1;3,9;1
Oslo - Blindern;SN18700;11.01.1946;-1;4,9;-4,6;2,3;0
Oslo - Blindern;SN18700;12.01.1946;-8,7;-4;-9,7;4;3
Oslo - Blindern;SN18700;13.01.1946;-6;-4;-9,1;1;1
Oslo - Blindern;SN18700;14.01.1946;-6,9;-3,9;-8,8;0;1
Oslo - Blindern;SN18700;15.01.1946;-12,1;-6,8;-13,9;0;1
Oslo - Blindern;SN18700;16.01.1946;-10,9;-7,6;-16,1;0;1
Oslo - Blindern;SN18700;17.01.1946;-7,6;-5,1;-9,7;0;1
Oslo - Blindern;SN18700;18.01.1946;-7,6;-5,1;-10;0;1
Oslo - Blindern;SN18700;19.01.1946;-3,2;0,6;-8,4;0;1
Oslo - Blindern;SN18700;20.01.1946;-3;-1,1;-3,4;0;1
Oslo - Blindern;SN18700;21.01.1946;-3,7;-2,9;-4,5;0;1
Oslo - Blindern;SN18700;22.01.1946;-3,7;-3,4;-4,9;0;1
Oslo - Blindern;SN18700;23.01.1946;-6,1;-3,1;-8,4;0,1;1
Oslo - Blindern;SN18700;24.01.1946;-3,3;-2,8;-5,3;0,9;2
Oslo - Blindern;SN18700;25.01.1946;0,5;1,6;-3;0,4;1
Oslo - Blindern;SN18700;26.01.1946;-0,8;1;-1,8;0;1
Oslo - Blindern;SN18700;27.01.1946;-3,8;-1,1;-4,7;0;1
Oslo - Blindern;SN18700;28.01.1946;-2,3;-1,6;-3,9;2,3;6
Oslo - Blindern;SN18700;29.01.1946;0,2;0,9;-1,9;7,3;13
Oslo - Blindern;SN18700;30.01.1946;-0,7;0,9;-1,1;14,6;20
Oslo - Blindern;SN18700;31.01.1946;-1,2;0,9;-3,2;0;19
Oslo - Blindern;SN18700;01.02.1946;-0,7;0,8;-3,9;0;19
Oslo - Blindern;SN18700;02.02.1946;0,6;1,8;-0,4;4,9;21
Oslo - Blindern;SN18700;03.02.1946;0,8;1,4;-0,1;8,5;21
Oslo - Blindern;SN18700;04.02.1946;1,4;2;0,3;3,5;20
Oslo - Blindern;SN18700;05.02.1946;1,4;2,1;0,6;0,8;17
Oslo - Blindern;SN18700;06.02.1946;-3,8;1,8;-6,9;0;16
Oslo - Blindern;SN18700;07.02.1946;-2,5;2,2;-8,9;1,5;17
Oslo - Blindern;SN18700;08.02.1946;0,6;1,8;-1,1;19,2;24
Oslo - Blindern;SN18700;09.02.1946;-5,1;0,2;-6,6;0;24
Oslo - Blindern;SN18700;10.02.1946;-5,4;-0,9;-12,1;0;23
Oslo - Blindern;SN18700;11.02.1946;-1;2,5;-6,9;0,1;24
Oslo - Blindern;SN18700;12.02.1946;-0,5;2,9;-2,9;0;22
Oslo - Blindern;SN18700;13.02.1946;-7,4;-2,5;-11,9;0;21
Oslo - Blindern;SN18700;14.02.1946;-4,6;-1,1;-10,1;0;21
Oslo - Blindern;SN18700;15.02.1946;1,1;7;-2,1;0;21
Oslo - Blindern;SN18700;16.02.1946;4;9,1;-1,1;0;21
Oslo - Blindern;SN18700;17.02.1946;2,1;4,7;0,6;0;20
Oslo - Blindern;SN18700;18.02.1946;-0,1;8,1;-3,8;0;20
Oslo - Blindern;SN18700;19.02.1946;-3,1;-0,8;-4,9;0,1;20
Oslo - Blindern;SN18700;20.02.1946;-5,8;-2,1;-6,5;20,6;37
Oslo - Blindern;SN18700;21.02.1946;-7,8;-4,1;-11;1,4;40
Oslo - Blindern;SN18700;22.02.1946;-9,2;-3,9;-14,9;0;39
Oslo - Blindern;SN18700;23.02.1946;-10,5;-6,8;-16,9;0;39
Oslo - Blindern;SN18700;24.02.1946;-5,3;-3,7;-7,4;0,5;31
Oslo - Blindern;SN18700;25.02.1946;-5,9;-2,1;-7,5;0;31
Oslo - Blindern;SN18700;26.02.1946;-11,6;-5,6;-15,9;0;31
Oslo - Blindern;SN18700;27.02.1946;-8,9;-6,1;-13,9;0,1;32
Oslo - Blindern;SN18700;28.02.1946;-9,5;-6,2;-13,9;0,1;32
Oslo - Blindern;SN18700;01.03.1946;-9,7;-3,1;-14;0;24
Oslo - Blindern;SN18700;02.03.1946;-5,1;-2;-10,1;0;24
Oslo - Blindern;SN18700;03.03.1946;-2,4;-1,5;-4,1;4,9;23
Oslo - Blindern;SN18700;04.03.1946;-1,5;-0,6;-2,7;0;24
Oslo - Blindern;SN18700;05.03.1946;-1,1;2,7;-2,9;0,1;24
Oslo - Blindern;SN18700;06.03.1946;-2,8;1,2;-5;0;24
Oslo - Blindern;SN18700;07.03.1946;-4,5;-3;-6,8;0,1;23
Oslo - Blindern;SN18700;08.03.1946;-1,2;0,2;-4,3;4,3;26
Oslo - Blindern;SN18700;09.03.1946;-2,3;-0,8;-2,9;2,7;28
Oslo - Blindern;SN18700;10.03.1946;-2;-0,4;-3,2;0;28
Oslo - Blindern;SN18700;11.03.1946;-2,4;-0,9;-3,3;0,3;28
Oslo - Blindern;SN18700;12.03.1946;-1,9;-0,1;-3;2,1;29
Oslo - Blindern;SN18700;13.03.1946;-5,7;-2,1;-7,8;0,2;30
Oslo - Blindern;SN18700;14.03.1946;-11,2;-6;-13;0;29
Oslo - Blindern;SN18700;15.03.1946;-11,2;-3,9;-20,1;0;29
Oslo - Blindern;SN18700;16.03.1946;-4,5;4;-13,6;0;28
Oslo - Blindern;SN18700;17.03.1946;-5;2,7;-11;0;27
Oslo - Blindern;SN18700;18.03.1946;-2,5;0,1;-9;0,5;28
Oslo - Blindern;SN18700;19.03.1946;1,3;2,2;-0,6;3;30
Oslo - Blindern;SN18700;20.03.1946;2,8;4,8;1,1;0,1;25
Oslo - Blindern;SN18700;21.03.1946;3,3;6,9;1,3;3,4;21
Oslo - Blindern;SN18700;22.03.1946;4,2;10,3;-1,1;0;19
Oslo - Blindern;SN18700;23.03.1946;2,9;9,2;-3,9;0;16
Oslo - Blindern;SN18700;24.03.1946;3,2;8,2;-3;0;15
Oslo - Blindern;SN18700;25.03.1946;3,3;9,8;-3,5;0;13
Oslo - Blindern;SN18700;26.03.1946;3,4;7,9;-2,3;0;10
Oslo - Blindern;SN18700;27.03.1946;3,7;4,2;0,5;0,9;7
Oslo - Blindern;SN18700;28.03.1946;4,6;13,7;-2,4;1,1;2
Oslo - Blindern;SN18700;29.03.1946;4,1;9,9;-1,7;0;1
Oslo - Blindern;SN18700;30.03.1946;5,8;13;-0,1;0;0
Oslo - Blindern;SN18700;31.03.1946;6;13,8;-1;0;0
Oslo - Blindern;SN18700;01.04.1946;6,8;14,2;0,3;0;0
Oslo - Blindern;SN18700;02.04.1946;5;10,7;0,2;0;0
Oslo - Blindern;SN18700;03.04.1946;11,6;17,4;5,1;0;0
Oslo - Blindern;SN18700;04.04.1946;7,6;13,2;4;0;0
Oslo - Blindern;SN18700;05.04.1946;6;10,5;3,1;0,1;0
Oslo - Blindern;SN18700;06.04.1946;4,8;10,2;-1;0;0
Oslo - Blindern;SN18700;07.04.1946;6,5;11,5;1,2;0;0
Oslo - Blindern;SN18700;08.04.1946;7,2;11,9;3,7;0;0
Oslo - Blindern;SN18700;09.04.1946;4,5;8;0,2;0;0
Oslo - Blindern;SN18700;10.04.1946;3,8;7,4;1,7;0;0
Oslo - Blindern;SN18700;11.04.1946;2,8;12,1;-2,5;1;1
Oslo - Blindern;SN18700;12.04.1946;3,2;6;1,1;0;0
Oslo - Blindern;SN18700;13.04.1946;2,4;8,5;-3,9;0;0
